File,Method Name,Cyclomatic Complexity,Source Lines of Code,Mutant Density
3rdparty/ittnotify/src/ittnotify/ittnotify_config.h, __itt_interlocked_increment, 0, 4, 1
3rdparty/openjpeg/openjp2/bio.c, opj_bio_numbytes, 0, 4, 1
3rdparty/openjpeg/openjp2/bio.c, opj_bio_init_enc, 0, 8, 1
3rdparty/openjpeg/openjp2/bio.c, opj_bio_init_dec, 0, 8, 1
3rdparty/openjpeg/openjp2/cio.c, opj_write_bytes_BE, 1, 8, 2
3rdparty/openjpeg/openjp2/cio.c, opj_write_bytes_LE, 2, 10, 2
3rdparty/openjpeg/openjp2/cio.c, opj_read_bytes_BE, 1, 8, 2
3rdparty/openjpeg/openjp2/cio.c, opj_read_bytes_LE, 2, 11, 2
3rdparty/openjpeg/openjp2/cio.c, opj_write_double_LE, 1, 9, 2
3rdparty/openjpeg/openjp2/cio.c, opj_read_double_LE, 1, 8, 2
3rdparty/openjpeg/openjp2/cio.c, opj_write_float_LE, 1, 9, 2
3rdparty/openjpeg/openjp2/cio.c, opj_read_float_LE, 1, 8, 2
3rdparty/openjpeg/openjp2/cio.c, opj_stream_write_data, 5, 34, 1
3rdparty/openjpeg/openjp2/cio.c, opj_stream_read_skip, 9, 51, 3
3rdparty/openjpeg/openjp2/cio.c, opj_stream_get_number_byte_left, 1, 8, 1
3rdparty/openjpeg/openjp2/function_list.c, opj_procedure_list_add_procedure, 2, 27, 1
3rdparty/openjpeg/openjp2/image.c, opj_image_create, 6, 42, 6
3rdparty/openjpeg/openjp2/invert.c, opj_lupSolve, 4, 46, 14
3rdparty/openjpeg/openjp2/invert.c, opj_lupInvert, 2, 24, 1
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_check_poc_val, 11, 65, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_calculate_tp, 2, 35, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_siz, 4, 72, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_com, 3, 46, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_cod, 5, 59, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_coc, 4, 37, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_coc_in_memory, 1, 39, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_max_coc_size, 2, 15, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcd, 5, 48, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcc, 4, 37, 1
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcc_in_memory, 1, 35, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_poc, 4, 46, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_poc_in_memory, 2, 67, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_max_poc_size, 1, 15, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_max_toc_size, 1, 14, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_specific_header_sizes, 3, 31, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_ppm, 7, 56, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_tlm, 3, 45, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_sot, 37, 224, 10
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_sod, 11, 91, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_sod, 13, 104, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_rgn, 2, 49, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_tp_stride, 0, 4, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_update_rates, 20, 126, 40
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_unk, 7, 48, 1
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mct_record, 3, 50, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mcc_record, 8, 90, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_mcc, 31, 188, 15
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mco, 4, 50, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_add_mct, 11, 64, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_cbd, 4, 48, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_default_thread_count, 6, 23, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_initialise_4K_poc, 0, 18, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_cinema_parameters, 13, 113, 13
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_imf_parameters, 18, 58, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_is_imf_compliant, 106, 407, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_setup_encoder, 122, 559, 63
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_add_mhmarker, 2, 25, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_add_tlmarker, 4, 38, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_mct_validation, 4, 28, 1
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_setup_mct_encoding, 15, 130, 20
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_encoding_validation, 4, 32, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_header_procedure, 23, 135, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_cp_destroy, 7, 40, 1
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_tile_header, 51, 235, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_update_image_data, 30, 156, 35
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_update_image_dimensions, 7, 45, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_decoded_components, 7, 53, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_decode_area, 22, 127, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_SPCod_SPCoc_size, 1, 19, 1
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_SPCod_SPCoc, 4, 51, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_SPCod_SPCoc, 18, 112, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_copy_tile_component_parameters, 2, 27, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_SQcd_SQcc_size, 2, 22, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_compare_SQcd_SQcc, 9, 41, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_SQcd_SQcc, 6, 57, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_SQcd_SQcc, 17, 95, 10
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_copy_tile_quantization_parameters, 2, 23, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_dump_tile_info, 5, 42, 2
3rdparty/openjpeg/openjp2/j2k.c, j2k_dump, 12, 36, 1
