File,Method Name,Cyclomatic Complexity,Source Lines of Code,Mutant Density
3rdparty/ittnotify/src/ittnotify/ittnotify_static.c, __itt_get_groups, 10, 40, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_byteout, 2, 10, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_bytein, 2, 10, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_getbit, 1, 9, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_write, 2, 8, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_inalign, 2, 10, 3
3rdparty/openjpeg/openjp2/cio.c, opj_stream_set_read_function, 2, 9, 2
3rdparty/openjpeg/openjp2/cio.c, opj_stream_set_write_function, 2, 9, 2
3rdparty/openjpeg/openjp2/cio.c, opj_stream_read_data, 12, 81, 2
3rdparty/openjpeg/openjp2/cio.c, opj_stream_write_data, 5, 34, 2
3rdparty/openjpeg/openjp2/cio.c, opj_stream_read_skip, 9, 51, 2
3rdparty/openjpeg/openjp2/cio.c, opj_stream_write_skip, 5, 29, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_unk, 7, 48, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mct_record, 3, 50, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mcc_record, 8, 90, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_mcc, 31, 188, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_cbd, 4, 48, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_setup_decoder, 2, 11, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_is_cinema_compliant, 8, 55, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_is_imf_compliant, 106, 407, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_setup_encoder, 122, 559, 17
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_mct_validation, 4, 28, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_header_procedure, 23, 135, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_tile_header, 51, 235, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_decode_tile, 14, 74, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_SPCod_SPCoc_size, 1, 19, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_compare_SPCod_SPCoc, 9, 41, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_SPCod_SPCoc, 4, 51, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_SPCod_SPCoc, 18, 112, 11
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_SQcd_SQcc, 17, 95, 6
3rdparty/openjpeg/openjp2/j2k.c, j2k_dump, 12, 36, 16
3rdparty/openjpeg/openjp2/j2k.c, j2k_dump_image_header, 3, 27, 16
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_pclr, 16, 96, 6
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_setup_decoder, 0, 7, 2
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_default_validation, 2, 27, 3
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_header_procedure, 20, 137, 15
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_byteout, 3, 31, 3
3rdparty/openjpeg/openjp2/openjpeg.c, opj_set_MCT, 2, 23, 1
3rdparty/openjpeg/openjp2/t2.c, opj_t2_putnumpasses, 5, 14, 9
3rdparty/openjpeg/openjp2/t2.c, opj_t2_encode_packets, 26, 129, 3
3rdparty/openjpeg/openjp2/t2.c, opj_t2_encode_packet, 49, 248, 10
3rdparty/openjpeg/openjp2/t2.c, opj_t2_init_seg, 7, 37, 4
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_init_tile, 51, 359, 3
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_get_decoded_tile_size, 10, 47, 3
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_update_tile_data, 20, 105, 9
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_t1_decode, 7, 31, 2
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_get_encoder_input_buffer_size, 3, 25, 3
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_copy_tile_data, 14, 74, 9
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_is_subband_area_of_interest, 15, 62, 3
3rdparty/protobuf/src/google/protobuf/arena.cc, CleanupList, 3, 16, 3
3rdparty/protobuf/src/google/protobuf/arena.cc, Init, 1, 16, 6
3rdparty/protobuf/src/google/protobuf/arena_impl.h, AlignUpTo8, 0, 3, 3
3rdparty/protobuf/src/google/protobuf/arena_impl.h, set_policy, 0, 4, 6
3rdparty/protobuf/src/google/protobuf/arena_impl.h, get, 0, 3, 3
3rdparty/protobuf/src/google/protobuf/arena_impl.h, get, 0, 3, 3
3rdparty/protobuf/src/google/protobuf/arena_impl.h, LifeCycleId, 0, 3, 3
3rdparty/protobuf/src/google/protobuf/arena_impl.h, thread_cache, 0, 1, 3
3rdparty/protobuf/src/google/protobuf/arenastring.h, SetTagged, 0, 4, 3
3rdparty/protobuf/src/google/protobuf/dynamic_message.cc, OffsetValue, 1, 6, 3
3rdparty/protobuf/src/google/protobuf/extension_set_heavy.cc, ParseField, 1, 15, 3
3rdparty/protobuf/src/google/protobuf/generated_message_util.h, IsPresent, 0, 4, 5
3rdparty/protobuf/src/google/protobuf/io/coded_stream.cc, ReadVarint32FromArray, 6, 32, 15
3rdparty/protobuf/src/google/protobuf/io/coded_stream.cc, ReadVarint32Fallback, 5, 16, 2
3rdparty/protobuf/src/google/protobuf/io/coded_stream.cc, ReadVarintSizeAsIntFallback, 5, 12, 2
3rdparty/protobuf/src/google/protobuf/io/coded_stream.cc, ReadTagFallback, 9, 28, 2
3rdparty/protobuf/src/google/protobuf/io/coded_stream.cc, ReadVarint64Slow, 4, 23, 6
3rdparty/protobuf/src/google/protobuf/io/coded_stream.cc, ReadVarint64Fallback, 4, 16, 2
3rdparty/protobuf/src/google/protobuf/io/coded_stream.h, WriteTag, 0, 5, 3
3rdparty/protobuf/src/google/protobuf/io/coded_stream.h, UnsafeWriteSize, 1, 10, 3
3rdparty/protobuf/src/google/protobuf/io/coded_stream.h, ExpectTag, 7, 22, 3
3rdparty/protobuf/src/google/protobuf/io/coded_stream.h, ExpectTagFromArray, 5, 14, 3
3rdparty/protobuf/src/google/protobuf/io/coded_stream.h, VarintSize32, 0, 4, 3
3rdparty/protobuf/src/google/protobuf/io/coded_stream.h, VarintSize32PlusOne, 0, 4, 3
3rdparty/protobuf/src/google/protobuf/io/coded_stream.h, VarintSize64, 0, 4, 3
3rdparty/protobuf/src/google/protobuf/io/coded_stream.h, VarintSize64PlusOne, 0, 4, 3
3rdparty/protobuf/src/google/protobuf/io/tokenizer.cc, Next, 24, 77, 3
3rdparty/protobuf/src/google/protobuf/metadata_lite.h, HasMessageOwnedArenaTag, 0, 3, 3
3rdparty/protobuf/src/google/protobuf/parse_context.cc, WriteVarint, 1, 8, 3
3rdparty/protobuf/src/google/protobuf/stubs/strutil.cc, AlphaNum, 1, 15, 6
3rdparty/protobuf/src/google/protobuf/stubs/strutil.cc, Base64UnescapeInternal, 43, 141, 36
3rdparty/protobuf/src/google/protobuf/stubs/strutil.h, hex_digit_to_int, 1, 7, 3
3rdparty/protobuf/src/google/protobuf/wire_format.cc, _InternalParse, 9, 34, 3
3rdparty/protobuf/src/google/protobuf/wire_format_lite.h, GetTagWireType, 0, 3, 3
3rdparty/protobuf/src/google/protobuf/wire_format_lite.h, ZigZagDecode32, 0, 3, 3
3rdparty/protobuf/src/google/protobuf/wire_format_lite.h, ZigZagDecode64, 0, 3, 3
3rdparty/quirc/src/decode.c, grid_bit, 0, 5, 6
3rdparty/quirc/src/decode.c, read_format, 5, 33, 3
3rdparty/quirc/src/decode.c, read_bit, 2, 13, 3
3rdparty/quirc/src/decode.c, take_bits, 3, 14, 6
3rdparty/quirc/src/decode.c, decode_kanji, 6, 31, 6
3rdparty/quirc/src/decode.c, decode_eci, 5, 17, 12
3rdparty/quirc/src/decode.c, decode_payload, 10, 36, 3
build/3rdparty/ippicv/ippicv_lnx/iw/src/iw_image.c, owniTilePipeline_BuildBorder, 3, 17, 3
build/3rdparty/ippicv/ippicv_lnx/iw/src/iw_image.c, owniTilePipeline_InitCommon, 11, 53, 12
modules/dnn/misc/caffe/opencv-caffe.pb.cc, _InternalParse, 6, 36, 3
modules/dnn/misc/caffe/opencv-caffe.pb.cc, Clear, 4, 25, 12
modules/dnn/misc/caffe/opencv-caffe.pb.cc, _InternalParse, 30, 127, 3
modules/dnn/misc/caffe/opencv-caffe.pb.cc, _InternalSerialize, 12, 54, 21
modules/dnn/misc/caffe/opencv-caffe.pb.cc, ByteSizeLong, 12, 75, 24
modules/dnn/misc/caffe/opencv-caffe.pb.cc, MergeFrom, 8, 35, 24
modules/dnn/misc/caffe/opencv-caffe.pb.cc, _InternalParse, 7, 38, 3
modules/dnn/misc/caffe/opencv-caffe.pb.cc, _InternalParse, 8, 41, 3
