File,Method Name,Cyclomatic Complexity,Source Lines of Code,Mutant Density
3rdparty/ittnotify/src/ittnotify/ittnotify_config.h, __TBB_machine_fetchadd4, 0, 9, 2
3rdparty/ittnotify/src/ittnotify/ittnotify_static.c, __itt_report_error, 1, 12, 4
3rdparty/ittnotify/src/ittnotify/ittnotify_static.c, __itt_fsplit, 17, 48, 20
3rdparty/ittnotify/src/ittnotify/ittnotify_static.c, __itt_get_groups, 10, 40, 9
3rdparty/ittnotify/src/ittnotify/ittnotify_static.c, __itt_nullify_all_pointers, 1, 6, 1
3rdparty/ittnotify/src/ittnotify/jitprofiling.c, iJIT_IsProfilingActive, 1, 8, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_byteout, 2, 10, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_bytein, 2, 10, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_putbit, 1, 9, 6
3rdparty/openjpeg/openjp2/bio.c, opj_bio_getbit, 1, 9, 4
3rdparty/openjpeg/openjp2/bio.c, opj_bio_destroy, 1, 6, 4
3rdparty/openjpeg/openjp2/bio.c, opj_bio_init_enc, 0, 8, 6
3rdparty/openjpeg/openjp2/bio.c, opj_bio_init_dec, 0, 8, 6
3rdparty/openjpeg/openjp2/bio.c, opj_bio_write, 2, 8, 4
3rdparty/openjpeg/openjp2/bio.c, opj_bio_read, 1, 14, 4
3rdparty/openjpeg/openjp2/bio.c, opj_bio_inalign, 2, 10, 1
3rdparty/openjpeg/openjp2/cio.c, opj_write_bytes_BE, 1, 8, 2
3rdparty/openjpeg/openjp2/cio.c, opj_write_bytes_LE, 2, 10, 4
3rdparty/openjpeg/openjp2/cio.c, opj_read_bytes_BE, 1, 8, 3
3rdparty/openjpeg/openjp2/cio.c, opj_read_bytes_LE, 2, 11, 5
3rdparty/openjpeg/openjp2/cio.c, opj_write_double_BE, 0, 5, 2
3rdparty/openjpeg/openjp2/cio.c, opj_write_double_LE, 1, 9, 4
3rdparty/openjpeg/openjp2/cio.c, opj_read_double_BE, 0, 5, 2
3rdparty/openjpeg/openjp2/cio.c, opj_read_double_LE, 1, 8, 4
3rdparty/openjpeg/openjp2/cio.c, opj_write_float_BE, 0, 5, 2
3rdparty/openjpeg/openjp2/cio.c, opj_write_float_LE, 1, 9, 4
3rdparty/openjpeg/openjp2/cio.c, opj_read_float_BE, 0, 5, 2
3rdparty/openjpeg/openjp2/cio.c, opj_read_float_LE, 1, 8, 4
3rdparty/openjpeg/openjp2/cio.c, opj_stream_create, 3, 30, 18
3rdparty/openjpeg/openjp2/cio.c, opj_stream_destroy, 2, 12, 9
3rdparty/openjpeg/openjp2/cio.c, opj_stream_set_read_function, 2, 9, 5
3rdparty/openjpeg/openjp2/cio.c, opj_stream_set_seek_function, 1, 9, 5
3rdparty/openjpeg/openjp2/cio.c, opj_stream_set_write_function, 2, 9, 5
3rdparty/openjpeg/openjp2/cio.c, opj_stream_set_skip_function, 1, 9, 5
3rdparty/openjpeg/openjp2/cio.c, opj_stream_set_user_data, 1, 10, 6
3rdparty/openjpeg/openjp2/cio.c, opj_stream_set_user_data_length, 1, 9, 5
3rdparty/openjpeg/openjp2/cio.c, opj_stream_read_data, 12, 81, 53
3rdparty/openjpeg/openjp2/cio.c, opj_stream_write_data, 5, 34, 15
3rdparty/openjpeg/openjp2/cio.c, opj_stream_flush, 2, 20, 7
3rdparty/openjpeg/openjp2/cio.c, opj_stream_read_skip, 9, 51, 26
3rdparty/openjpeg/openjp2/cio.c, opj_stream_write_skip, 5, 29, 10
3rdparty/openjpeg/openjp2/cio.c, opj_stream_read_seek, 1, 15, 6
3rdparty/openjpeg/openjp2/cio.c, opj_stream_write_seek, 2, 17, 6
3rdparty/openjpeg/openjp2/event.c, opj_set_default_event_handler, 0, 9, 7
3rdparty/openjpeg/openjp2/function_list.c, opj_procedure_list_create, 2, 16, 3
3rdparty/openjpeg/openjp2/function_list.c, opj_procedure_list_destroy, 2, 10, 8
3rdparty/openjpeg/openjp2/function_list.c, opj_procedure_list_add_procedure, 2, 27, 10
3rdparty/openjpeg/openjp2/function_list.c, opj_procedure_list_clear, 0, 4, 2
3rdparty/openjpeg/openjp2/image.c, opj_image_create, 6, 42, 18
3rdparty/openjpeg/openjp2/image.c, opj_image_destroy, 5, 19, 15
3rdparty/openjpeg/openjp2/image.c, opj_image_tile_create, 3, 30, 16
3rdparty/openjpeg/openjp2/invert.c, opj_lupSolve, 4, 46, 26
3rdparty/openjpeg/openjp2/invert.c, opj_lupInvert, 2, 24, 11
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_int16_to_float, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_int32_to_float, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_float32_to_float, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_float64_to_float, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_int16_to_int32, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_int32_to_int32, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_float32_to_int32, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_float64_to_int32, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_float_to_int16, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_float_to_int32, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_float_to_float, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_float_to_float64, 1, 13, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_check_poc_val, 11, 65, 30
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_num_tp, 7, 42, 16
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_calculate_tp, 2, 35, 13
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_soc, 2, 16, 1
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_siz, 4, 72, 29
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_com, 3, 46, 14
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_cod, 5, 59, 20
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_coc, 4, 37, 10
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_compare_coc, 1, 14, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_coc_in_memory, 1, 39, 15
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_max_coc_size, 2, 15, 7
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcd, 5, 48, 14
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcc, 4, 37, 10
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcc_in_memory, 1, 35, 17
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_poc, 4, 46, 16
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_poc_in_memory, 2, 67, 29
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_max_poc_size, 1, 15, 7
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_max_toc_size, 1, 14, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_specific_header_sizes, 3, 31, 18
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_ppm, 7, 56, 18
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_tlm, 3, 45, 13
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_sot, 2, 39, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_sot_values, 1, 24, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_sot, 37, 224, 60
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_sod, 11, 91, 25
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_sod, 13, 104, 38
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_rgn, 2, 49, 15
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_update_rates, 20, 126, 74
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_end_header, 0, 11, 1
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mct_data_group, 6, 34, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_regions, 3, 21, 2
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_epc, 3, 20, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_unk, 7, 48, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mct_record, 3, 50, 15
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mcc_record, 8, 90, 38
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_mcc, 31, 188, 74
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mco, 4, 50, 17
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_add_mct, 11, 64, 23
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_cbd, 4, 48, 17
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_setup_decoder, 2, 11, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_threads, 4, 16, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_default_thread_count, 6, 23, 11
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_create_compress, 6, 36, 14
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_initialise_4K_poc, 0, 18, 14
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_cinema_parameters, 13, 113, 71
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_is_cinema_compliant, 8, 55, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_imf_parameters, 18, 58, 42
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_is_imf_compliant, 106, 407, 187
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_setup_encoder, 122, 559, 294
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_add_mhmarker, 2, 25, 11
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_add_tlmarker, 4, 38, 16
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_header, 7, 44, 13
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_mct_validation, 4, 28, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_setup_mct_encoding, 15, 130, 75
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_encoding_validation, 4, 32, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_decoding_validation, 0, 17, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_header_procedure, 23, 135, 39
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_exec, 2, 23, 7
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_marker_handler, 2, 11, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_destroy, 7, 52, 50
3rdparty/openjpeg/openjp2/j2k.c, j2k_destroy_cstr_index, 7, 29, 26
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_tcp_destroy, 13, 57, 52
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_tcp_data_destroy, 1, 8, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_cp_destroy, 7, 40, 33
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_need_nb_tile_parts_correction, 18, 76, 11
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_tile_header, 51, 235, 89
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_decode_tile, 14, 74, 16
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_update_image_data, 30, 156, 90
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_update_image_dimensions, 7, 45, 13
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_decoded_components, 7, 53, 15
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_decode_area, 22, 127, 58
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_create_decompress, 8, 51, 21
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_create_cstr_index, 2, 18, 5
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_SPCod_SPCoc_size, 1, 19, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_compare_SPCod_SPCoc, 9, 41, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_SPCod_SPCoc, 4, 51, 15
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_SPCod_SPCoc, 18, 112, 31
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_copy_tile_component_parameters, 2, 27, 16
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_SQcd_SQcc_size, 2, 22, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_compare_SQcd_SQcc, 9, 41, 7
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_SQcd_SQcc, 6, 57, 20
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_SQcd_SQcc, 17, 95, 42
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_copy_tile_quantization_parameters, 2, 23, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_dump_tile_info, 5, 42, 33
3rdparty/openjpeg/openjp2/j2k.c, j2k_dump, 12, 36, 28
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_dump_MH_index, 10, 54, 33
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_dump_MH_info, 0, 10, 7
3rdparty/openjpeg/openjp2/j2k.c, j2k_dump_image_header, 3, 27, 486
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_ihdr, 8, 60, 20
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_ihdr, 1, 35, 12
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_bpcc, 2, 28, 9
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_bpcc, 3, 26, 7
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_cdef, 2, 39, 16
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_colr, 7, 52, 18
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_free_pclr, 1, 11, 9
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_check_color, 38, 116, 64
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_pclr, 16, 96, 34
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_cmap, 5, 46, 14
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_apply_cdef, 11, 47, 36
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_cdef, 7, 56, 17
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_colr, 14, 104, 51
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_decode, 15, 53, 28
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_jp2h, 13, 81, 53
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_ftyp, 3, 38, 15
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_jp2c, 3, 30, 4
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_setup_decoder, 0, 7, 4
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_setup_encoder, 31, 151, 92
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_default_validation, 2, 27, 13
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_header_procedure, 20, 137, 40
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_skip_jp2c, 1, 13, 1
3rdparty/openjpeg/openjp2/jp2.c, opj_jpip_skip_iptr, 1, 13, 1
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_boxhdr_char, 7, 55, 15
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_header, 6, 34, 2
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_destroy, 13, 56, 54
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_get_tile, 14, 55, 29
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_create, 5, 31, 15
3rdparty/openjpeg/openjp2/jp2.c, jp2_dump, 0, 7, 2
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_setbits, 1, 8, 5
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_init_enc, 0, 11, 7
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_flush, 1, 11, 9
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_bypass_init_enc, 0, 7, 3
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_bypass_enc, 3, 17, 15
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_bypass_flush_enc, 11, 20, 16
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_reset_enc, 0, 7, 5
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_restart_init_enc, 1, 12, 8
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_erterm_enc, 2, 13, 10
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_renorme, 0, 4, 1
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_segmark_enc, 1, 8, 4
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_init_dec_common, 0, 14, 7
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_init_dec, 1, 16, 12
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_raw_init_dec, 0, 7, 4
3rdparty/openjpeg/openjp2/mqc.c, opq_mqc_finish_dec, 0, 4, 2
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_resetstates, 1, 7, 4
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_setstate, 0, 5, 2
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_byteout, 3, 31, 28
3rdparty/openjpeg/openjp2/openjpeg.c, opj_set_info_handler, 1, 12, 2
3rdparty/openjpeg/openjp2/openjpeg.c, opj_set_warning_handler, 1, 12, 2
3rdparty/openjpeg/openjp2/openjpeg.c, opj_set_error_handler, 1, 12, 2
3rdparty/openjpeg/openjp2/openjpeg.c, opj_get_data_length_from_file, 0, 8, 1
3rdparty/openjpeg/openjp2/openjpeg.c, opj_create_decompress, 7, 155, 38
3rdparty/openjpeg/openjp2/openjpeg.c, opj_set_default_decoder_parameters, 1, 15, 9
3rdparty/openjpeg/openjp2/openjpeg.c, opj_setup_decoder, 3, 17, 2
3rdparty/openjpeg/openjp2/openjpeg.c, opj_read_header, 3, 19, 1
3rdparty/openjpeg/openjp2/openjpeg.c, opj_set_decoded_components, 3, 25, 2
3rdparty/openjpeg/openjp2/openjpeg.c, opj_create_compress, 7, 88, 24
3rdparty/openjpeg/openjp2/openjpeg.c, opj_set_default_encoder_parameters, 4, 55, 24
3rdparty/openjpeg/openjp2/openjpeg.c, opj_set_MCT, 2, 23, 10
3rdparty/openjpeg/openjp2/openjpeg.c, opj_destroy_codec, 2, 13, 10
3rdparty/openjpeg/openjp2/openjpeg.c, opj_dump_codec, 1, 11, 6
3rdparty/openjpeg/openjp2/openjpeg.c, opj_destroy_cstr_info, 3, 12, 9
3rdparty/openjpeg/openjp2/openjpeg.c, opj_destroy_cstr_index, 1, 7, 5
3rdparty/openjpeg/openjp2/openjpeg.c, opj_stream_create_file_stream, 4, 36, 14
3rdparty/openjpeg/openjp2/openjpeg.c, opj_image_data_free, 0, 4, 2
3rdparty/openjpeg/openjp2/opj_clock.c, opj_clock, 0, 13, 2
3rdparty/openjpeg/openjp2/opj_malloc.c, opj_aligned_free, 1, 8, 2
3rdparty/openjpeg/openjp2/opj_malloc.c, opj_free, 0, 4, 2
3rdparty/openjpeg/openjp2/pi.c, opj_pi_next_lrcp, 11, 49, 16
3rdparty/openjpeg/openjp2/pi.c, opj_pi_next_rlcp, 11, 48, 16
3rdparty/openjpeg/openjp2/pi.c, opj_pi_next_rpcl, 41, 122, 47
3rdparty/openjpeg/openjp2/pi.c, opj_pi_next_pcrl, 40, 121, 48
3rdparty/openjpeg/openjp2/pi.c, opj_pi_next_cprl, 39, 118, 46
3rdparty/openjpeg/openjp2/pi.c, opj_get_encoding_parameters, 6, 81, 50
3rdparty/openjpeg/openjp2/pi.c, opj_get_all_encoding_parameters, 13, 98, 64
3rdparty/openjpeg/openjp2/pi.c, opj_pi_create, 5, 46, 13
3rdparty/openjpeg/openjp2/pi.c, opj_pi_update_encode_poc_and_final, 2, 57, 38
3rdparty/openjpeg/openjp2/pi.c, opj_pi_update_encode_not_poc, 1, 40, 22
3rdparty/openjpeg/openjp2/pi.c, opj_pi_update_decode_poc, 1, 35, 18
3rdparty/openjpeg/openjp2/pi.c, opj_pi_update_decode_not_poc, 1, 26, 16
3rdparty/openjpeg/openjp2/pi.c, opj_get_encoding_packet_count, 0, 16, 1
3rdparty/openjpeg/openjp2/pi.c, opj_pi_create_encode, 47, 258, 183
3rdparty/openjpeg/openjp2/pi.c, opj_pi_destroy, 6, 28, 22
3rdparty/openjpeg/openjp2/pi.c, opj_pi_update_encoding_parameters, 1, 23, 8
3rdparty/openjpeg/openjp2/sparse_array.c, opj_sparse_array_int32_create, 7, 32, 10
3rdparty/openjpeg/openjp2/sparse_array.c, opj_sparse_array_int32_free, 3, 13, 10
3rdparty/openjpeg/openjp2/sparse_array.c, opj_sparse_array_int32_read_or_write, 43, 195, 130
3rdparty/openjpeg/openjp2/t2.c, opj_t2_getcommacode, 1, 8, 3
3rdparty/openjpeg/openjp2/t2.c, opj_t2_putnumpasses, 5, 14, 16
3rdparty/openjpeg/openjp2/t2.c, opj_t2_encode_packets, 26, 129, 42
3rdparty/openjpeg/openjp2/t2.c, opj_t2_decode_packets, 21, 144, 40
3rdparty/openjpeg/openjp2/t2.c, opj_t2_destroy, 1, 6, 4
3rdparty/openjpeg/openjp2/t2.c, opj_t2_decode_packet, 3, 32, 7
3rdparty/openjpeg/openjp2/t2.c, opj_t2_encode_packet, 49, 248, 118
3rdparty/openjpeg/openjp2/t2.c, opj_t2_skip_packet, 3, 32, 7
3rdparty/openjpeg/openjp2/t2.c, opj_t2_read_packet_data, 15, 100, 39
3rdparty/openjpeg/openjp2/t2.c, opj_t2_skip_packet_data, 13, 80, 30
3rdparty/openjpeg/openjp2/t2.c, opj_t2_init_seg, 7, 37, 18
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_rateallocate_fixed, 1, 7, 4
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_makelayer, 16, 80, 55
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_makelayer_fixed, 19, 87, 60
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_rateallocate, 33, 154, 80
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_init, 2, 22, 7
3rdparty/openjpeg/openjp2/tcd.c, opj_alloc_tile_component_data, 7, 25, 10
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_init_tile, 51, 359, 168
