Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
BeanUtils.getIndexedProperty( Object bean , String name );1;0;3
BeanUtils.createCache( );1;0;3
BeanUtils.copyProperties( Object dest , Object orig );1;0;3
BeanUtils.getArrayProperty( Object bean , String name );1;0;3
BeanUtils.setCacheFast( Map map , boolean fast );2;0;5
BeanUtils.getCacheFast( Map map );2;0;7
BeanUtils.getIndexedProperty( Object bean , String name , int index );1;0;3
BeanUtils.getDebug( );1;0;3
BeanUtils.getMappedProperty( Object bean , String name , String key );1;0;3
BeanUtils.initCause( Throwable throwable , Throwable cause );1;0;3
BeanUtils.getNestedProperty( Object bean , String name );1;0;3
BeanUtils.getProperty( Object bean , String name );1;0;3
BeanUtils.setDebug( int newDebug );1;0;3
BeanUtils.getMappedProperty( Object bean , String name );1;0;3
BeanUtils.populate( Object bean , Map properties );1;0;3
BeanUtils.setProperty( Object bean , String name , Object value );1;0;3
BeanUtils.getSimpleProperty( Object bean , String name );1;0;3
BeanUtils.cloneBean( Object bean );1;0;3
BeanUtils.copyProperty( Object bean , String name , Object value );1;0;3
BeanUtils.describe( Object bean );1;0;3
