Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
LazyDynaClass.setReturnNull( boolean returnNull );1;0;3
LazyDynaClass.LazyDynaClass( String name , Class dynaBeanClass );1;0;3
LazyDynaClass.remove( String name );6;7;21
LazyDynaClass.add( String name , Class type , boolean readable , boolean writeable );1;0;3
LazyDynaClass.add( DynaProperty property );4;3;16
LazyDynaClass.LazyDynaClass( String name , DynaProperty [ ] properties );1;0;3
LazyDynaClass.add( String name );1;0;3
LazyDynaClass.isReturnNull( );1;0;3
LazyDynaClass.getDynaProperty( String name );5;6;10
LazyDynaClass.isDynaProperty( String name );3;2;6
LazyDynaClass.LazyDynaClass( );1;0;3
LazyDynaClass.isRestricted( );1;0;3
LazyDynaClass.LazyDynaClass( String name );1;0;3
LazyDynaClass.LazyDynaClass( String name , Class dynaBeanClass , DynaProperty properties [ ] );1;0;3
LazyDynaClass.add( String name , Class type );2;1;7
LazyDynaClass.setRestricted( boolean restricted );1;0;3
