Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
DelegateFastHashMap.keySet( );1;0;3
DelegateFastHashMap.isEmpty( );1;0;3
DelegateFastHashMap.containsValue( Object value );1;0;3
LocaleConvertUtilsBean.convert( Object value );1;0;3
DelegateFastHashMap.containsKey( Object key );1;0;3
LocaleConvertUtilsBean.register( LocaleConverter converter , Class clazz , Locale locale );1;0;3
DelegateFastHashMap.equals( Object o );1;0;3
LocaleConvertUtilsBean.create( Locale locale );1;0;26
DelegateFastHashMap.getFast( );1;0;3
DelegateFastHashMap.get( Object key );1;0;3
LocaleConvertUtilsBean.convert( String value , Class clazz , String pattern );1;0;3
LocaleConvertUtilsBean.convert( String value , Class clazz );1;0;3
LocaleConvertUtilsBean.getInstance( );1;0;3
LocaleConvertUtilsBean.convert( Object value , String pattern );1;0;3
LocaleConvertUtilsBean.convert( String [ ] values , Class clazz , String pattern );1;0;3
LocaleConvertUtilsBean.convert( Object value , Locale locale , String pattern );1;0;4
LocaleConvertUtilsBean.convert( String [ ] values , Class clazz , Locale locale , String pattern );4;2;16
LocaleConvertUtilsBean.getDefaultLocale( );1;0;3
LocaleConvertUtilsBean.deregister( );1;0;7
DelegateFastHashMap.entrySet( );1;0;3
LocaleConvertUtilsBean.lookup( Locale locale );3;2;14
LocaleConvertUtilsBean.lookup( Class clazz , Locale locale );2;0;7
DelegateFastHashMap.setFast( boolean fast );1;0;3
LocaleConvertUtilsBean.getApplyLocalized( );1;0;3
LocaleConvertUtilsBean.setApplyLocalized( boolean newApplyLocalized );1;0;3
DelegateFastHashMap.remove( Object key );1;0;3
LocaleConvertUtilsBean.deregister( Locale locale );1;0;3
DelegateFastHashMap.putAll( Map m );1;0;3
LocaleConvertUtilsBean.LocaleConvertUtilsBean( );1;0;5
DelegateFastHashMap.values( );1;0;3
DelegateFastHashMap.DelegateFastHashMap( Map map );1;0;3
DelegateFastHashMap.put( Object key , Object value );1;0;3
LocaleConvertUtilsBean.convert( String value , Class clazz , Locale locale , String pattern );4;1;15
DelegateFastHashMap.size( );1;0;3
LocaleConvertUtilsBean.setDefaultLocale( Locale locale );2;1;8
LocaleConvertUtilsBean.convert( String [ ] values , Class clazz );1;0;3
DelegateFastHashMap.hashCode( );1;0;3
LocaleConvertUtilsBean.deregister( Class clazz , Locale locale );1;0;3
DelegateFastHashMap.clear( );1;0;3
