Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
OutputTextTag.setProperties( UIComponent component );6;2;28
OutputTextTag.getComponentType( );1;0;3
OutputTextTag.getRendererType( );1;0;3
OutputTextTag.setEscape( String escape );1;0;3
OutputTextTag.recycle( );1;0;9
OutputTextTag.setStyle( String style );1;0;3
OutputTextTag.setStyleClass( String styleClass );1;0;3
OutputTextTag.setValue( String value );1;0;3
OutputTextTag.setTitle( String title );1;0;3
OutputTextTag.setConverter( String converter );1;0;3
