Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AbstractContainerDefinition.AbstractContainerDefinition( );1;0;3
AbstractContainerDefinition.initializeFrom( WidgetDefinition definition );4;1;15
AbstractContainerDefinition.getWidgetDefinitions( );1;0;3
AbstractContainerDefinition.addWidgetDefinition( WidgetDefinition definition );1;0;4
AbstractContainerDefinition.getWidgetDefinition( String id );1;0;3
AbstractContainerDefinition.checkCompleteness( );1;0;4
AbstractContainerDefinition.hasWidget( String id );1;0;3
AbstractContainerDefinition.createWidget( Widget parent , String id );1;0;3
AbstractContainerDefinition.resolve( List parents , WidgetDefinition parent );1;0;3
AbstractContainerDefinition.createWidgets( Widget parent );1;0;3
