Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
CleanupTransformer.getValidity( );1;0;3
CleanupTransformer.recycle( );1;0;6
CleanupTransformer.endPrefixMapping( String prefix );4;1;10
CleanupTransformer.getKey( );1;0;3
***not in a method***;0;1;0
CleanupTransformer.setup( SourceResolver resolver , Map objectModel , String src , Parameters par );1;0;4
CleanupTransformer.startElement( String uri , String qName , String lName , Attributes attrs );2;5;9
CleanupTransformer.startPrefixMapping( String prefix , String uri );3;0;8
CleanupTransformer.characters( char [ ] ch , int start , int length );3;4;10
CleanupTransformer.endElement( String uri , String qName , String lName );4;8;11
CleanupTransformer.ignorableWhitespace( char [ ] ch , int start , int length );1;0;2
CleanupTransformer.configure( Configuration conf );6;4;24
