Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SourceRepository.getOutputStream( String collection );1;3;6
SourceRepository.remove( String resourceName );3;0;9
SourceRepository.save( Request request , String dirName );7;6;25
SourceRepository.copy( ModifiableTraversableSource from , ModifiableTraversableSource to );7;4;30
SourceRepository.copy( String from , String to );1;0;3
SourceRepository.getVersions( String colName );6;2;22
SourceRepository.resolve( String uri );2;0;13
SourceRepository.save( Request request , String param , String dest );1;0;4
SourceRepository.getInstance( );2;1;6
SourceRepository.SourceRepository( );1;0;3
SourceRepository.revertFrom( String collection , int version );1;3;5
SourceRepository.remove( ModifiableTraversableSource resource );5;0;21
SourceRepository.getVersionID( String colName );6;3;20
SourceRepository.save( Part part , ModifiableTraversableSource destination );3;2;16
SourceRepository.copy( InputStream from , OutputStream to );2;3;8
SourceRepository.getCollection( String colName );4;1;12
SourceRepository.getVersion( String name );3;4;12
SourceRepository.getID( String colName );6;2;21
