Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
MultiValueField.setSelectionList( Object model , String valuePath , String labelPath );1;0;3
MultiValueField.generateLabel( ContentHandler contentHandler );1;0;3
MultiValueField.broadcastEvent( WidgetEvent event );1;0;3
MultiValueField.setSelectionList( SelectionList selectionList );4;5;8
MultiValueField.generateSaxFragment( ContentHandler contentHandler , Locale locale );7;18;34
MultiValueField.MultiValueField( MultiValueFieldDefinition definition );1;0;5
MultiValueField.validate( FormContext formContext );3;2;7
MultiValueField.getId( );1;0;3
MultiValueField.setValue( Object value );3;1;9
MultiValueField.getValidationError( );1;0;3
MultiValueField.setSelectionList( String uri );1;0;3
MultiValueField.setValidationError( ValidationError error );1;0;3
MultiValueField.setValues( Object [ ] values );3;3;7
MultiValueField.getValue( );1;0;3
MultiValueField.readFromRequest( FormContext formContext );5;5;23
