Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
XMLCocoonLogFormatter.getRequestId( ContextMap ctxMap );3;2;10
XMLCocoonLogFormatter.getClass( int format );4;5;13
XMLCocoonLogFormatter.getThread( ContextMap ctxMap );3;3;7
CallStack.get( );1;0;3
XMLCocoonLogFormatter.setTypes( String typeString );3;3;11
XMLCocoonLogFormatter.setTypes( String [ ] typeStrings );3;3;10
XMLCocoonLogFormatter.getURI( ContextMap ctxMap );5;4;13
XMLCocoonLogFormatter.getHost( ContextMap ctxMap );5;4;13
XMLCocoonLogFormatter.getTypeIdFor( final String type );3;2;8
XMLCocoonLogFormatter.format( final LogEvent event );17;5;82
