Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
DocumentHandlerWrapper.ignorableWhitespace( char ch [ ] , int start , int len );2;1;5
DocumentHandlerWrapper.startElement( String uri , String loc , String raw , Attributes a );6;7;24
DocumentHandlerWrapper.endElement( String uri , String loc , String raw );2;1;6
DocumentHandlerWrapper.endDocument( );2;1;5
DocumentHandlerWrapper.startPrefixMapping( String prefix , String uri );1;0;3
DocumentHandlerWrapper.endPrefixMapping( String prefix );2;1;5
DocumentHandlerWrapper.setDocumentLocator( Locator locator );2;1;4
DocumentHandlerWrapper.recycle( );1;0;3
DocumentHandlerWrapper.enableLogging( Logger logger );2;1;5
DocumentHandlerWrapper.startDocument( );2;1;5
DocumentHandlerWrapper.setDocumentHandler( DocumentHandler document );2;1;4
DocumentHandlerWrapper.DocumentHandlerWrapper( DocumentHandler document );1;0;4
DocumentHandlerWrapper.characters( char ch [ ] , int start , int len );2;1;5
DocumentHandlerWrapper.processingInstruction( String target , String data );2;1;5
DocumentHandlerWrapper.DocumentHandlerWrapper( );1;0;3
