Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
XMLUtils.stripDuplicateAttributes( Node node , Node parent );10;11;43
XMLUtils.endElement( ContentHandler contentHandler , String localName );1;0;3
XMLUtils.createElement( ContentHandler contentHandler , String localName , String stringValue );1;0;5
XMLUtils.valueOf( ContentHandler contentHandler , String text );2;1;5
XMLUtils.valueOf( ContentHandler contentHandler , Collection v );3;1;8
XMLUtils.startElement( ContentHandler contentHandler , String namespaceURI , String localName , Attributes atts );1;0;3
XMLUtils.serializeNodeToXML( Node node );1;0;3
XMLUtils.serialize( org . apache . excalibur . xml . sax . XMLizable xml , Properties format );4;1;20
XMLUtils.getConsumer( ContentHandler ch );1;0;3
XMLUtils.createElement( ContentHandler contentHandler , String localName , Attributes atts , String stringValue );1;0;5
XMLUtils.createElementNS( ContentHandler contentHandler , String namespaceURI , String localName , Attributes atts , String stringValue );1;0;5
XMLUtils.startElement( ContentHandler contentHandler , String localName );1;0;3
XMLUtils.createElementNS( ContentHandler contentHandler , String namespaceURI , String localName );1;0;4
XMLUtils.defaultSerializeToXMLFormat( );1;0;3
XMLUtils.valueOf( ContentHandler contentHandler , Object v );7;3;25
XMLUtils.createElement( ContentHandler contentHandler , String localName , Attributes atts );1;0;4
XMLUtils.createDefaultPropertiesForXML( boolean omitXMLDeclaration );2;0;7
XMLUtils.valueOf( ContentHandler contentHandler , Node v );3;1;9
XMLUtils.startElement( ContentHandler contentHandler , String localName , Attributes atts );1;0;3
XMLUtils.valueOf( ContentHandler contentHandler , org . apache . excalibur . xml . sax . XMLizable v );2;1;5
XMLUtils.serializeNode( Node node );1;0;3
XMLUtils.createElement( ContentHandler contentHandler , String localName );1;0;4
XMLUtils.getConsumer( ContentHandler ch , LexicalHandler lh );4;2;10
XMLUtils.endElement( ContentHandler contentHandler , String namespaceURI , String localName );1;0;3
XMLUtils.createElementNS( ContentHandler contentHandler , String namespaceURI , String localName , Attributes atts );1;0;4
XMLUtils.data( ContentHandler contentHandler , String data );1;0;3
XMLUtils.serializeNode( Node node , Properties format );6;3;25
XMLUtils.createElementNS( ContentHandler contentHandler , String namespaceURI , String localName , String stringValue );1;0;5
XMLUtils.createPropertiesForXML( boolean omitXMLDeclaration );3;0;8
XMLUtils.defaultSerializeToXMLFormat( boolean omitXMLDeclaration );1;0;5
XMLUtils.startElement( ContentHandler contentHandler , String namespaceURI , String localName );1;0;3
