Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AbstractSiteNode.getKey( Publication pub , String area , String docId );1;2;3
AbstractSiteNode.getParent( );2;1;11
AbstractSiteNode.isTopLevel( );1;1;3
AbstractSiteNode.equals( Object obj );3;3;13
AbstractSiteNode.AbstractSiteNode( Publication publication , SiteStructure structure , String path , String uuid , Logger logger );1;0;10
AbstractSiteNode.hasLink( String language );1;0;3
AbstractSiteNode.hashCode( );1;0;3
AbstractSiteNode.getUuid( );1;0;3
AbstractSiteNode.getPath( );1;0;3
AbstractSiteNode.getStructure( );1;0;3
