Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
WorkflowBuilder.buildCondition( Element element );2;1;9
WorkflowBuilder.buildWorkflow( String name , File file );2;0;10
WorkflowBuilder.buildTransition( Element element );6;4;34
WorkflowBuilder.buildAssignment( Element element );1;0;6
WorkflowBuilder.isInitialStateElement( Element element );3;3;5
WorkflowBuilder.buildWorkflow( String name , Document document );6;8;32
WorkflowBuilder.buildState( Element element );1;0;3
WorkflowBuilder.buildVariable( Element element );1;0;5
WorkflowBuilder.buildEvent( Element element );1;0;3
WorkflowBuilder.WorkflowBuilder( Logger logger );1;0;3
