Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Put.getNewDocumentPath( );1;0;4
Put.configure( Configuration config );4;4;15
Put.doExecute( );11;11;58
Put.getDocumentTypeName( );3;1;17
Put.lookUpExtension( String extension , ServiceSelector selector );4;2;15
Put.validateDoc( SourceResolver resolver , org . w3c . dom . Document xmlDoc , Document doc );1;0;5
Put.getPublication( );3;1;11
Put.doCheckExecutionConditions( );2;1;8
Put.setMetaData( Document document );2;1;12
Put.getSourceExtension( );2;2;11
Put.getNewDocumentName( );1;0;3
Put.getNodesToLock( );3;2;16
Put.getVisibleInNav( );1;0;3
