Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Form.informStartSavingModel( );1;0;2
Form.hasFormHandler( );1;1;3
Form.fireEvents( );4;2;17
Form.validate( );5;5;17
Form.isValid( );1;0;3
Form.initialize( );1;0;9
Form.Form( FormDefinition definition );1;0;5
Form.getChildUpdatedWidgetIds( );1;0;3
Form.getSubmitWidget( );1;0;3
Form.setFormHandler( FormHandler formHandler );1;0;3
Form.informEndSavingModel( );2;1;5
Form.readFromRequest( FormContext formContext );1;0;3
Form.getId( );2;1;6
Form.informStartLoadingModel( );1;0;2
Form.getXMLElementName( );1;0;3
Form.addProcessingPhaseListener( ProcessingPhaseListener listener );1;0;3
Form.getValidationError( );1;0;3
Form.getLocale( );1;0;3
Form.doReadFromRequest( FormContext formContext );1;0;3
Form.process( FormContext formContext );9;9;42
Form.removeProcessingPhaseListener( ProcessingPhaseListener listener );1;0;3
Form.getUpdatedWidgetIds( );1;0;3
Form.getDefinition( );1;0;3
Form.setValidationError( ValidationError error );1;0;3
Form.setId( String value );1;0;3
Form.setSubmitWidget( Widget widget );5;4;16
Form.addWidgetEvent( WidgetEvent event );3;1;10
Form.endProcessing( boolean redisplayForm );1;1;3
Form.informEndLoadingModel( );2;1;5
Form.addWidgetUpdate( Widget widget );6;4;16
