Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
LinkRewriterTransformer.startTransformingElement( String uri , String name , String raw , Attributes attr );4;4;15
LinkRewriterTransformer.getConf( String scheme );3;2;9
LinkRewriterTransformer.createTransformedLink( String oldLink );11;7;33
LinkRewriterTransformer.split( String str , String delim );3;1;11
LinkRewriterTransformer.createTransformedAttr( String attrName , String oldAttrValue );7;9;34
LinkRewriterTransformer.initialize( );1;0;4
LinkRewriterTransformer.dispose( );2;1;7
LinkRewriterTransformer.setup( SourceResolver resolver , Map objectModel , String src , Parameters parameters );5;0;30
LinkRewriterTransformer.split( String str , String delim , Object valueObj );5;2;16
LinkRewriterTransformer.configure( Configuration conf );8;6;35
LinkRewriterTransformer.recycle( );1;0;8
