Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
CollectionWrapper.toArray( );1;0;3
CollectionWrapper.add( Object o );1;0;3
CollectionWrapper.toArray( Object [ ] a );1;0;3
CollectionWrapper.getObjects( );1;0;3
CollectionWrapper.containsAll( Collection c );1;0;3
CollectionWrapper.retainAll( Collection c );1;0;3
CollectionWrapper.addAll( Collection c );1;0;3
CollectionWrapper.contains( Object o );1;0;3
CollectionWrapper.CollectionWrapper( Collection c );1;0;3
CollectionWrapper.removeAll( Collection c );1;0;3
CollectionWrapper.CollectionWrapper( );1;0;3
CollectionWrapper.iterator( );1;0;3
CollectionWrapper.size( );1;0;3
CollectionWrapper.clear( );1;0;3
CollectionWrapper.remove( Object o );1;0;3
CollectionWrapper.isEmpty( );1;0;3
