Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ProfilingCachingProcessingPipeline.addTransformer( String role , String source , Parameters param , Parameters hintParam );2;2;8
ProfilingCachingProcessingPipeline.processXMLPipeline( Environment environment );2;2;14
ProfilingCachingProcessingPipeline.service( ServiceManager aManager );1;0;4
ProfilingCachingProcessingPipeline.setReader( String role , String source , Parameters param , String mimeType );2;1;7
ProfilingCachingProcessingPipeline.recycle( );1;0;5
ProfilingCachingProcessingPipeline.process( Environment environment );2;2;14
ProfilingCachingProcessingPipeline.connect( Environment environment , XMLProducer producer , XMLConsumer consumer );2;1;15
ProfilingCachingProcessingPipeline.dispose( );2;1;7
ProfilingCachingProcessingPipeline.setupPipeline( Environment environment );5;6;37
ProfilingCachingProcessingPipeline.processReader( Environment environment );2;2;14
ProfilingCachingProcessingPipeline.setSerializer( String role , String source , Parameters param , Parameters hintParam , String mimeType );2;1;7
ProfilingCachingProcessingPipeline.parameterize( Parameters params );1;0;4
ProfilingCachingProcessingPipeline.setGenerator( String role , String source , Parameters param , Parameters hintParam );2;1;7
