Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SimpleLuceneCriterionBean.setField( String field );1;0;3
SimpleLuceneCriterionBean.getField( );1;0;3
SimpleLuceneCriterionBean.clone( );1;0;4
SimpleLuceneCriterionBean.SimpleLuceneCriterionBean( );1;0;2
SimpleLuceneCriterionBean.SimpleLuceneCriterionBean( String field , String match , String term );1;0;5
SimpleLuceneCriterionBean.getId( );1;0;3
SimpleLuceneCriterionBean.getQuery( Analyzer analyzer );26;21;72
SimpleLuceneCriterionBean.getTerm( );1;0;3
SimpleLuceneCriterionBean.setTerm( String term );1;0;3
SimpleLuceneCriterionBean.setMatch( String match );1;0;3
SimpleLuceneCriterionBean.getMatch( );1;0;3
SimpleLuceneCriterionBean.setId( Long id );1;0;3
SimpleLuceneCriterionBean.isProhibited( );2;0;4
