Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SourceDTO.SourceDTO( Source source , boolean deep );15;3;42
SourceDTO.addSourceLocks( SourceLock sourcelock );1;0;3
SourceDTO.getLastModified( );1;0;3
SourceDTO.getAuthority( );1;0;3
SourceDTO.setSourceRevision( String revision );1;0;3
SourceDTO.getSourceLocks( );1;0;3
SourceDTO.getValidity( );1;0;3
SourceDTO.delete( );1;0;3
SourceDTO.canCancel( OutputStream stream );1;0;3
SourceDTO.copyTo( Source source );1;0;3
SourceDTO.getParent( );1;0;3
SourceDTO.SourceDTO( Source source );1;0;3
SourceDTO.getSourceProperty( String namespace , String name );4;3;7
SourceDTO.getName( );1;0;3
SourceDTO.refresh( );1;0;3
SourceDTO.getLatestSourceRevision( );1;0;3
SourceDTO.makeCollection( );1;0;3
SourceDTO.exists( );1;0;3
SourceDTO.removeSourceProperty( String namespace , String name );1;0;3
SourceDTO.getQuery( );1;0;3
SourceDTO.getMimeType( );1;0;3
SourceDTO.getSourceRevision( );1;0;3
SourceDTO.getOutputStream( );1;0;3
SourceDTO.setSourceRevisionBranch( String branch );1;0;3
SourceDTO.getScheme( );1;0;3
SourceDTO.setSourceProperty( SourceProperty property );1;0;3
SourceDTO.getChild( String name );1;0;3
SourceDTO.getInputStream( );1;0;3
SourceDTO.getURI( );1;0;3
SourceDTO.getContentLength( );1;0;3
SourceDTO.getChildren( );1;0;3
SourceDTO.cancel( OutputStream stream );1;0;3
SourceDTO.moveTo( Source source );1;0;3
SourceDTO.getPath( );1;0;3
SourceDTO.getSourceRevisionBranch( );1;0;3
SourceDTO.isCollection( );1;0;3
SourceDTO.getSourceProperties( );1;0;3
SourceDTO.getFragment( );1;0;3
SourceDTO.isVersioned( );1;0;3
