Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
LoopTagStatus.setCurrent( Object current );1;0;3
LoopTagStatus.isFirst( );1;0;3
LoopTagStatus.setCount( int count );1;0;3
LoopTagStatus.getIndex( );1;0;3
LoopTagStatus.getCount( );1;0;3
LoopTagStatus.setLast( boolean last );1;0;3
LoopTagStatus.setFirst( boolean first );1;0;3
LoopTagStatus.setStep( int step );1;0;3
LoopTagStatus.isLast( );1;0;3
LoopTagStatus.getStep( );1;0;3
LoopTagStatus.setIndex( int index );1;0;3
LoopTagStatus.setEnd( int end );1;0;3
LoopTagStatus.setBegin( int begin );1;0;3
LoopTagStatus.getBegin( );1;0;3
LoopTagStatus.getEnd( );1;0;3
LoopTagStatus.getCurrent( );1;0;3
