Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
JXPathExpression.assign( ObjectModel objectModel , Object value );1;0;3
JXPathExpression.iterate( ObjectModel objectModel );2;0;21
VariableAdapter.declareVariable( String name , Object value );1;0;3
VariableAdapter.getVariable( String name );1;0;3
JXPathExpression.next( );1;0;3
JXPathExpression.getLanguage( );1;0;3
JXPathExpression.getNode( ObjectModel objectModel );6;1;27
JXPathExpression.getExpression( );1;0;3
VariableAdapter.VariableAdapter( ObjectModel objectModel );1;0;3
JXPathExpression.JXPathExpression( String language , String expression );1;0;5
VariableAdapter.isDeclaredVariable( String name );1;0;3
JXPathExpression.remove( );1;0;3
JXPathExpression.setProperty( String property , Object value );2;0;4
VariableAdapter.undeclareVariable( String name );1;0;3
JXPathExpression.getContext( ObjectModel objectModel );1;0;7
JXPathExpression.hasNext( );1;0;3
JXPathExpression.evaluate( ObjectModel objectModel );1;0;3
