Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
UnmodifiableMultiMap.mapIterator( );2;0;9
UnmodifiableMultiMap.put( Object key , Object value );1;0;3
UnmodifiableMultiMap.putAll( Map mapToCopy );1;0;3
UnmodifiableMultiMap.remove( Object key , Object item );1;0;3
UnmodifiableMultiMap.entrySet( );1;0;4
UnmodifiableMultiMap.values( );1;0;4
UnmodifiableMultiMap.decorate( MultiMap map );2;0;5
UnmodifiableMultiMap.UnmodifiableMultiMap( MultiMap map );1;0;3
UnmodifiableMultiMap.remove( Object key );1;0;3
UnmodifiableMultiMap.keySet( );1;0;4
UnmodifiableMultiMap.clear( );1;0;3
