Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
WebContinuationDataBean.getType( );2;2;7
WebContinuationDataBean.getTimeToLiveInMinutes( );1;2;3
WebContinuationDataBean.getInterpreterId( );1;0;3
WebContinuationDataBean.getLastAccessTime( );1;0;3
WebContinuationDataBean.getId( );1;0;3
WebContinuationDataBean.get_children( );1;0;3
WebContinuationDataBean.WebContinuationDataBean( WebContinuation wc );2;0;8
WebContinuationDataBean.hasExpired( );2;0;6
WebContinuationDataBean.getTimeToLive( );1;0;3
WebContinuationDataBean.getExpireTime( );1;1;3
