Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
HttpSoapConsumerEndpoint.validateWsdl2( HttpSoapConsumerMarshaler marshaler );1;0;3
HttpSoapConsumerEndpoint.getPolicies( );1;0;3
HttpSoapConsumerEndpoint.setPolicies( Policy [ ] policies );1;0;3
Wsdl2Validator.validate( HttpSoapConsumerMarshaler marshaler );7;6;33
HttpSoapConsumerEndpoint.isValidateWsdl( );1;0;3
HttpSoapConsumerEndpoint.HttpSoapConsumerEndpoint( ServiceUnit serviceUnit , QName service , String endpoint );1;0;3
HttpSoapConsumerEndpoint.getWsdl( );1;0;3
HttpSoapConsumerEndpoint.loadStaticResources( );1;0;3
HttpSoapConsumerEndpoint.HttpSoapConsumerEndpoint( DefaultComponent component , ServiceEndpoint endpoint );1;0;3
HttpSoapConsumerEndpoint.validate( );11;7;36
HttpSoapConsumerEndpoint.setValidateWsdl( boolean validateWsdl );1;0;3
HttpSoapConsumerEndpoint.validateWsdl1( HttpSoapConsumerMarshaler marshaler );11;9;54
HttpSoapConsumerEndpoint.setUseJbiWrapper( boolean useJbiWrapper );1;0;3
HttpSoapConsumerEndpoint.setWsdl( Resource wsdl );1;0;3
HttpSoapConsumerEndpoint.isUseJbiWrapper( );1;0;3
HttpSoapConsumerEndpoint.HttpSoapConsumerEndpoint( );1;0;3
