Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SubscribeFactoryBean.getXpath( );1;0;3
SubscribeFactoryBean.setConsumer( String consumer );1;0;3
SubscribeFactoryBean.getTopic( );1;0;3
SubscribeFactoryBean.isRaw( );1;0;3
SubscribeFactoryBean.getObjectType( );1;0;3
SubscribeFactoryBean.isSingleton( );1;0;3
SubscribeFactoryBean.getConsumer( );1;0;3
SubscribeFactoryBean.setTopic( String topic );1;0;3
SubscribeFactoryBean.setXpath( String xpath );1;0;3
SubscribeFactoryBean.getObject( );4;2;25
SubscribeFactoryBean.setRaw( boolean raw );1;0;3
