Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
JarContent.getEntries( );5;2;20
JarContent.getEntryAsStream( String name );7;4;37
JarContent.JarContent( File file );1;0;3
EntriesEnumeration.EntriesEnumeration( Enumeration enumeration );1;0;3
JarContent.open( );1;0;3
JarContent.toString( );1;0;3
JarContent.close( );3;1;15
EntriesEnumeration.nextElement( );1;0;3
EntriesEnumeration.hasMoreElements( );1;0;3
JarContent.openJarFile( );2;1;6
JarContent.finalize( );3;1;12
JarContent.hasEntry( String name );5;3;30
JarContent.getEntry( String name );12;7;62
JarContent.getFile( );1;0;3
