Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
PushbackInputStream.read( byte [ ] var0 , int var1 , int var2 );1;0;1
PushbackInputStream.unread( int var0 );1;0;1
PushbackInputStream.close( );1;0;1
PushbackInputStream.PushbackInputStream( java . io . InputStream var0 , int var1 );1;0;1
PushbackInputStream.available( );1;0;1
PushbackInputStream.unread( byte [ ] var0 );1;0;1
PushbackInputStream.read( );1;0;1
PushbackInputStream.skip( long var0 );1;0;1
PushbackInputStream.unread( byte [ ] var0 , int var1 , int var2 );1;0;1
PushbackInputStream.markSupported( );1;0;1
PushbackInputStream.PushbackInputStream( java . io . InputStream var0 );1;0;1
