Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Package.hashCode( );1;0;1
Package.getImplementationVendor( );1;0;1
Package.getImplementationTitle( );1;0;1
Package.isSealed( );1;0;1
Package.isSealed( java . net . URL var0 );1;0;1
Package.getPackages( );1;0;1
Package.getImplementationVersion( );1;0;1
Package.toString( );1;0;1
Package.getSpecificationVendor( );1;0;1
Package.getSpecificationTitle( );1;0;1
Package.getName( );1;0;1
Package.getPackage( java . lang . String var0 );1;0;1
Package.getSpecificationVersion( );1;0;1
Package.isCompatibleWith( java . lang . String var0 );1;0;1
Package.Package( );1;0;1
