Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
HashMap.HashMap( java . util . Map var0 );1;0;1
HashMap.entrySet( );1;0;1
HashMap.remove( java . lang . Object var0 );1;0;1
HashMap.HashMap( int var0 , float var1 );1;0;1
HashMap.size( );1;0;1
HashMap.putAll( java . util . Map var0 );1;0;1
HashMap.containsValue( java . lang . Object var0 );1;0;1
HashMap.containsKey( java . lang . Object var0 );1;0;1
HashMap.HashMap( );1;0;1
HashMap.values( );1;0;1
HashMap.clear( );1;0;1
HashMap.isEmpty( );1;0;1
HashMap.HashMap( int var0 );1;0;1
HashMap.clone( );1;0;1
HashMap.put( java . lang . Object var0 , java . lang . Object var1 );1;0;1
HashMap.get( java . lang . Object var0 );1;0;1
HashMap.keySet( );1;0;1
