Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
DependencyInformation.getComponent( );1;0;3
DependencyInformation.getType( );1;0;3
DependencyInformation.getVersion( );1;0;3
DependencyInformation.setVersion( String version );1;0;3
DependencyInformation.getName( );1;0;3
DependencyInformation.setComponent( String component );1;0;3
DependencyInformation.setType( String type );1;0;3
DependencyInformation.getDescription( );1;0;3
DependencyInformation.setFilename( String artifactZip );1;0;3
DependencyInformation.setName( String name );1;0;3
DependencyInformation.getFilename( );1;0;3
DependencyInformation.setDescription( String description );1;0;3
