Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
JdbcComponent.setDataSource( DataSource ds );1;0;3
JdbcComponent.toXmlSource( );1;0;3
JdbcComponent.getQuery( Node node );2;1;8
JdbcComponent.getDataSource( );1;0;3
JdbcComponent.getUniqueColumnNames( ResultSetMetaData metaData );5;4;25
JdbcComponent.toXmlSource( int updateCount );1;0;3
JdbcComponent.transform( MessageExchange exchange , NormalizedMessage in , NormalizedMessage out );14;9;65
JdbcComponent.getResponseRequired( );1;0;3
JdbcComponent.setResponseRequired( boolean val );1;0;3
JdbcComponent.toXmlSource( ResultSet rs );4;5;20
