Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
InstallationService.createInstaller( String componentName );1;0;12
InstallationService.buildComponents( );8;7;21
InstallationService.doInstallSharedLibrary( File tmpDirectory , SharedLibrary descriptor );5;2;25
InstallationService.getServiceMBean( );1;0;3
InstallationService.buildState( );1;0;4
InstallationService.buildComponentContext( File componentRoot , File installRoot , String name );1;0;12
InstallationService.containsSharedLibrary( String name );1;1;3
InstallationService.getDescription( );1;0;3
InstallationService.buildComponent( File componentDirectory );3;1;16
InstallationService.uninstallSharedLibrary( String aSharedLibName );1;0;5
InstallationService.initializeInstaller( File installationDir , File componentRoot , Component descriptor );2;0;20
InstallationService.install( String location , Properties props , boolean autoStart );4;3;16
InstallationService.buildSharedLibs( );11;10;30
InstallationService.loadInstaller( String aComponentName );4;2;18
InstallationService.init( JBIContainer container );1;0;6
InstallationService.doInstallComponent( File tmpDirectory , Component descriptor );4;1;20
InstallationService.install( File tmpDir , Properties props , Descriptor root , boolean autoStart );13;7;48
InstallationService.unloadInstaller( String componentName , boolean isToBeDeleted );4;1;22
InstallationService.loadNewInstaller( String installJarURL );10;6;39
InstallationService.getOperationInfos( );1;0;20
InstallationService.doInstallArchive( File tmpDirectory , Descriptor descriptor );2;1;8
InstallationService.installSharedLibrary( String aSharedLibURI );5;3;23
