Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
LogService.setContainer( JBIContainer container );1;0;3
LogService.getServiceMBean( );1;0;3
LogService.locateLoggingConfig( );2;0;7
LogService.afterPropertiesSet( );3;1;9
LogService.getAttributeInfos( );1;0;6
LogService.stop( );3;2;12
LogService.getContainer( );1;0;3
LogService.setAutoStart( boolean autoStart );1;0;3
LogService.getRefreshPeriod( );1;0;3
LogService.setRefreshPeriod( int seconds );3;0;11
LogService.getConfigUrl( );1;0;3
LogService.getOperationInfos( );1;0;5
LogService.reconfigureLogSystem( );3;1;8
LogService.setUp( );3;4;12
LogService.start( );1;0;4
LogService.getDescription( );1;0;3
LogService.setConfigUrl( String url );3;0;11
LogService.getAutoStart( );1;0;3
