Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
BaseLifeCycle.getOperationInfos( );1;0;7
BaseLifeCycle.init( );1;0;3
BaseLifeCycle.shutDown( );1;0;3
BaseLifeCycle.setPropertyChangeListener( PropertyChangeListener l );1;0;3
BaseLifeCycle.isInitialized( );2;2;3
BaseLifeCycle.stop( );1;0;3
BaseLifeCycle.setCurrentState( String newValue );1;0;5
BaseLifeCycle.start( );1;0;3
BaseLifeCycle.getObjectToManage( );1;0;3
BaseLifeCycle.getType( );3;5;8
BaseLifeCycle.firePropertyChanged( String name , Object oldValue , Object newValue );2;1;7
BaseLifeCycle.getName( );3;5;8
BaseLifeCycle.isShutDown( );2;2;3
BaseLifeCycle.getAttributeInfos( );1;0;7
BaseLifeCycle.getCurrentState( );1;0;3
BaseLifeCycle.getSubType( );1;0;3
BaseLifeCycle.isStopped( );2;2;3
BaseLifeCycle.isStarted( );2;2;3
BaseLifeCycle.isUnknown( );2;2;3
