Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
EnvironmentImpl.getTransactionManager( );4;4;9
EnvironmentImpl.setMBeanServer( MBeanServer mbeanServer );1;0;3
EnvironmentImpl.setNamingContexts( List < InitialContext > namingContexts );1;0;3
EnvironmentImpl.setNamingContext( InitialContext namingContext );1;0;3
EnvironmentImpl.setTransactionManager( Object transactionManager );1;0;3
EnvironmentImpl.setTransactionManagers( List transactionManagers );1;0;3
EnvironmentImpl.setMbeanServers( List < MBeanServer > mbeanServers );1;0;3
EnvironmentImpl.getMBeanServer( );4;4;9
EnvironmentImpl.getNamingContext( );4;4;9
EnvironmentImpl.getNamingContexts( );1;0;3
EnvironmentImpl.getMbeanServers( );1;0;3
EnvironmentImpl.getTransactionManagers( );1;0;3
