Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ScriptEngineManager.ScriptEngineManager( );1;0;3
ScriptEngineManager.ScriptEngineManager( ClassLoader classLoader );11;0;32
ScriptEngineManager.registerEngineExtension( String extension , ScriptEngineFactory factory );1;0;3
ScriptEngineManager.getGlobalScope( );1;0;3
ScriptEngineManager.get( String key );2;1;7
ScriptEngineManager.put( String key , Object value );2;1;5
ScriptEngineManager.registerEngineMimeType( String type , ScriptEngineFactory factory );1;0;3
ScriptEngineManager.getEngineByMimeType( String mimeType );7;3;27
ScriptEngineManager.getEngineByName( String shortName );7;3;27
ScriptEngineManager.getEngineByExtension( String extension );7;3;27
ScriptEngineManager.getEngineFactories( );3;0;12
ScriptEngineManager.registerEngineName( String name , ScriptEngineFactory factory );1;0;3
ScriptEngineManager.setGlobalScope( Bindings globalScope );1;0;3
ScriptEngineManager.getClassNames( URL url );4;3;16
