Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
MockMessageExchange.getService( );1;0;3
MockMessageExchange.setInterfaceName( QName interfaceName );1;0;3
MockMessageExchange.createFault( );1;0;3
MockMessageExchange.setEndpoint( ServiceEndpoint endpoint );1;0;3
MockMessageExchange.getError( );1;0;3
MockMessageExchange.setRole( MessageExchange . Role role );1;0;3
MockMessageExchange.getInterfaceName( );1;0;3
MockMessageExchange.getPropertyNames( );1;0;3
MockMessageExchange.isTransacted( );1;0;3
MockMessageExchange.setFault( Fault fault );1;0;3
MockMessageExchange.setOperation( QName operation );1;0;3
MockMessageExchange.getOutMessage( );1;0;3
MockMessageExchange.getProperty( String name );1;0;3
MockMessageExchange.getRole( );1;0;3
MockMessageExchange.getStatus( );1;0;3
MockMessageExchange.setProperty( String name , Object obj );1;0;3
MockMessageExchange.getExchangeId( );1;0;3
MockMessageExchange.setPattern( URI pattern );1;0;3
MockMessageExchange.getPattern( );1;0;3
MockMessageExchange.setStatus( ExchangeStatus status );1;0;3
MockMessageExchange.getFault( );1;0;3
MockMessageExchange.getInMessage( );1;0;3
MockMessageExchange.getOperation( );1;0;3
MockMessageExchange.setError( Exception error );1;0;3
MockMessageExchange.setOutMessage( NormalizedMessage out );1;0;3
MockMessageExchange.setInMessage( NormalizedMessage in );1;0;3
MockMessageExchange.getEndpoint( );1;0;3
MockMessageExchange.setService( QName service );1;0;3
MockMessageExchange.setMessage( NormalizedMessage msg , String name );3;0;7
MockMessageExchange.createMessage( );1;0;3
MockMessageExchange.setExchangeId( String exchangeId );1;0;3
MockMessageExchange.getMessage( String name );3;0;8
