Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
JellyException.printStackTrace( );2;1;7
JellyException.JellyException( String message , Throwable cause );1;0;4
JellyException.getFileName( );1;0;3
JellyException.setFileName( String fileName );1;0;3
***not in a method***;0;2;0
JellyException.printStackTrace( PrintWriter s );2;1;9
JellyException.JellyException( String reason , String fileName , String elementName , int columnNumber , int lineNumber );1;0;7
JellyException.getMessage( );5;13;7
JellyException.getColumnNumber( );1;0;3
JellyException.setElementName( String elementName );1;0;3
JellyException.getCause( );1;0;3
JellyException.JellyException( Throwable cause , String fileName , String elementName , int columnNumber , int lineNumber );1;0;3
JellyException.setLineNumber( int lineNumber );1;0;3
JellyException.JellyException( String reason , Throwable cause , String fileName , String elementName , int columnNumber , int lineNumber );2;1;8
JellyException.getElementName( );1;0;3
JellyException.printStackTrace( PrintStream s );2;1;9
JellyException.JellyException( Throwable cause );1;0;4
JellyException.JellyException( );1;0;2
JellyException.JellyException( String message );1;0;3
JellyException.setColumnNumber( int columnNumber );1;0;3
JellyException.getReason( );1;0;3
JellyException.getLineNumber( );1;0;3
