Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
TagUtils.setStateChangeListenerMethodBinding( UIComponent component , String value , Class [ ] args );3;2;6
TagUtils.createValueBinding( String value );1;0;3
TagUtils.getValueFromEl( String script );2;0;7
TagUtils.setActionListenerMethodBinding( UIComponent component , String value , Class [ ] args );3;2;6
TagUtils.setTabChangeListenerMethodBinding( UIComponent component , String value , Class [ ] args );3;2;6
TagUtils.setOrderByProperty( UIComponent component , String name , String value );3;1;9
TagUtils.setObjectProperty( UIComponent component , String name , String value );1;0;3
TagUtils.setStringProperty( UIComponent component , String name , String value );3;1;9
TagUtils.setConverterProperty( UIComponent component , String name , String value );4;2;13
TagUtils.setValueChangeListenerMethodBinding( UIComponent component , String value , Class [ ] args );3;2;6
TagUtils.setSuggestMethodMethodBinding( UIComponent component , String value , Class [ ] args );3;2;6
TagUtils.setSeverityProperty( UIComponent component , String name , String value );1;0;3
TagUtils.setBooleanProperty( UIComponent component , String name , String value );3;1;9
TagUtils.setCharacterProperty( UIComponent component , String name , String value );1;0;3
TagUtils.setValueBindingProperty( UIComponent component , String name , String value );3;2;6
TagUtils.setStringArrayProperty( UIComponent component , String name , String value );6;1;18
TagUtils.setActionMethodBinding( UIComponent component , String value , Class [ ] args );3;1;11
TagUtils.setValidatorMethodBinding( UIComponent component , String value , Class [ ] args );3;2;6
TagUtils.setIntegerProperty( UIComponent component , String name , String value );9;6;17
TagUtils.setSortActionListenerMethodBinding( UIComponent component , String value , Class [ ] args );3;2;6
