Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SubmittedValueLengthValidator.getMaximum( );2;1;3
SubmittedValueLengthValidator.setMinimum( int minimum );2;1;5
SubmittedValueLengthValidator.getMinimum( );2;1;3
SubmittedValueLengthValidator.validate( FacesContext facesContext , UIComponent uiComponent , Object value );7;8;17
SubmittedValueLengthValidator.restoreState( FacesContext context , Object state );1;0;5
SubmittedValueLengthValidator.SubmittedValueLengthValidator( );1;0;2
SubmittedValueLengthValidator.hashCode( );3;4;6
SubmittedValueLengthValidator.SubmittedValueLengthValidator( int maximum );1;0;3
SubmittedValueLengthValidator.SubmittedValueLengthValidator( int maximum , int minimum );1;0;4
SubmittedValueLengthValidator.saveState( FacesContext context );1;0;6
SubmittedValueLengthValidator.equals( Object o );9;11;19
SubmittedValueLengthValidator.setMaximum( int maximum );2;1;5
