Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
CompoundConfiguration.hashCode( );1;1;3
CompoundConfiguration.hasChildren( );1;1;3
CompoundConfiguration.appendChildren( StringBuilder out , String childrenName , String childDelim );4;0;21
CompoundConfiguration.getChildren( );1;0;3
CompoundConfiguration.validate( );2;0;7
CompoundConfiguration.equals( Object obj );3;3;11
CompoundConfiguration.setChildren( Collection < C > kids );2;0;6
CompoundConfiguration.removeChild( C config );1;0;3
CompoundConfiguration.addConfiguration( CompoundConfiguration < C > config );1;0;4
CompoundConfiguration.getChild( C kid );3;0;10
CompoundConfiguration.addChild( C newKid );3;1;19
