Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ServletToolboxManager.getMutex( HttpSession session );3;2;16
ServletToolboxManager.addData( ToolInfo info );2;0;6
ServletToolboxManager.getInstance( ServletContext servletContext , String toolboxFile );7;6;45
ServletToolboxManager.addTool( ToolInfo info );6;0;34
ServletToolboxManager.setXhtml( Boolean value );1;1;4
ServletToolboxManager.getRuleSet( );1;0;3
ServletToolboxManager.getToolbox( Object initData );8;4;43
ServletToolboxManager.validateToolInfo( ToolInfo info );5;4;17
ServletToolboxManager.ServletToolboxManager( ServletContext servletContext );1;0;9
ServletToolboxManager.setCreateSession( boolean b );1;0;4
