Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
Permission.getApplicationName( );1;0;3
Permission.toString( );1;0;3
Permission.Permission( String applicationName , String permissionName );1;0;3
***not in a method***;0;1;0
Permission.compareTo( Object that );2;1;9
Permission.hashCode( );1;1;3
Permission.getName( );1;0;3
Permission.Permission( String applicationName , String permissionName , String description );5;4;21
Permission.equals( Object that );4;2;13
Permission.getDescription( );1;0;3
Permission.clone( );2;0;10
