Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AbstractSmsSession.setSessionId( String sessionId );1;0;3
AbstractSmsSession.setUser( String user );1;0;3
AbstractSmsSession.isKeepAliveEnabled( );1;0;3
AbstractSmsSession.getTransport( );1;0;3
AbstractSmsSession.setKeepAliveEnabled( boolean isKeepAliveEnabled );1;0;3
AbstractSmsSession.getApplicationId( );1;0;3
AbstractSmsSession.setApplicationId( String applicationId );1;0;3
AbstractSmsSession.getUser( );1;0;3
AbstractSmsSession.getSessionId( );1;0;3
AbstractSmsSession.setTransport( SmsTransportType transport );1;0;3
