Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ConnectionInfoModifier.setPrincipal( String principal );1;0;3
ConnectionInfoModifier.setLdapPort( int ldapPort );1;0;3
ConnectionInfoModifier.setHost( String host );1;0;3
ConnectionInfoModifier.ConnectionInfoModifier( );1;0;2
ConnectionInfoModifier.setCredentials( String credentials );1;0;3
ConnectionInfoModifier.setPasscode( String passcode );1;0;3
ConnectionInfoModifier.getConnectionInfo( );1;0;4
ConnectionInfoModifier.setKrb5Port( int krb5Port );1;0;3
ConnectionInfoModifier.setRealm( String realm );1;0;3
ConnectionInfoModifier.ConnectionInfoModifier( ConnectionInfo copy );1;0;10
ConnectionInfoModifier.setUseLdaps( boolean useLdaps );1;0;3
