Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
LoginDialog.LoginDialog( );1;0;6
LoginDialog.getJPanel14( );2;1;11
***not in a method***;0;1;0
LoginDialog.getUserName( );1;0;3
LoginDialog.actionPerformed( java . awt . event . ActionEvent e );7;9;27
LoginDialog.getLoginButton( );8;1;39
LoginDialog.getInputPanel( );2;1;22
LoginDialog.getUsernameField( );2;1;9
LoginDialog.getJPanel12( );2;1;11
LoginDialog.getJPanel13( );2;1;11
LoginDialog.getMainPanel( );2;1;24
LoginDialog.getPasswordField( );2;1;8
LoginDialog.getPassword( );1;0;3
LoginDialog.getJPanel15( );2;1;10
LoginDialog.getPasscodeField( );2;1;8
LoginDialog.getConnectionInfo( );1;0;3
LoginDialog.getRealmComboBox( );2;1;9
LoginDialog.getRealm( );1;0;3
LoginDialog.getJPanel1( );2;1;11
LoginDialog.initialize( );1;0;5
LoginDialog.getCancelButton( );2;1;17
LoginDialog.getPasscode( );1;0;3
LoginDialog.isCanceled( );1;0;3
LoginDialog.LoginDialog( ConnectionInfoModifier modifier );1;0;6
