Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
UserInfoPanel.UserInfoPanel( );1;0;4
UserInfoPanel.getPassword( );1;0;3
UserInfoPanel.getConfirmField( );2;1;9
UserInfoPanel.keyPressed( KeyEvent e );1;0;3
UserInfoPanel.focusLost( FocusEvent e );1;0;3
UserInfoPanel.getPasswordConfirm( );1;0;3
UserInfoPanel.setStatusListener( StatusListener listener );1;0;3
UserInfoPanel.setNewEntityMode( boolean newEntityMode );1;0;3
UserInfoPanel.setFields( LocalUser localUser , String realm );1;0;9
UserInfoPanel.focusGained( FocusEvent e );1;0;3
UserInfoPanel.alterModifier( LocalUserModifier modifier );1;0;5
UserInfoPanel.getFirstNameTextField( );2;1;9
UserInfoPanel.getRealm( );1;0;3
UserInfoPanel.getFirstName( );1;0;3
UserInfoPanel.keyReleased( KeyEvent e );1;0;3
UserInfoPanel.getLastNameTextField( );2;1;9
UserInfoPanel.alterModifier( HauskeysUserModifier modifier );1;0;5
UserInfoPanel.isUpToDate( );12;9;22
UserInfoPanel.getPasswordField( );2;1;9
UserInfoPanel.initialize( );1;0;84
UserInfoPanel.getRealmTextField( );2;1;8
UserInfoPanel.checkStatus( );3;3;8
UserInfoPanel.keyTyped( KeyEvent e );1;0;3
UserInfoPanel.isPasswordOk( );3;3;9
UserInfoPanel.setFields( HauskeysUser hauskeysUser );1;0;9
UserInfoPanel.getLastName( );1;0;3
