Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
DefaultMapEntry.setValue( Object value );1;0;5
DefaultMapEntry.DefaultMapEntry( );1;0;3
DefaultMapEntry.DefaultMapEntry( Map . Entry entry );1;0;5
DefaultMapEntry.equals( Object obj );6;7;12
DefaultMapEntry.getKey( );1;0;3
DefaultMapEntry.toString( );1;0;3
DefaultMapEntry.hashCode( );3;3;4
DefaultMapEntry.setKey( Object key );1;0;3
DefaultMapEntry.getValue( );1;0;3
DefaultMapEntry.DefaultMapEntry( Object key , Object value );1;0;5
