Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
UnboundedFifoBuffer.iterator( );5;1;34
UnboundedFifoBuffer.UnboundedFifoBuffer( int initialSize );2;2;8
UnboundedFifoBuffer.next( );2;1;7
UnboundedFifoBuffer.hasNext( );1;1;3
UnboundedFifoBuffer.isEmpty( );1;1;3
UnboundedFifoBuffer.add( final Object obj );6;12;27
UnboundedFifoBuffer.decrement( int index );2;3;7
UnboundedFifoBuffer.size( );2;4;9
UnboundedFifoBuffer.UnboundedFifoBuffer( );1;0;3
UnboundedFifoBuffer.increment( int index );2;2;7
UnboundedFifoBuffer.remove( );4;9;14
UnboundedFifoBuffer.get( );2;0;6
