Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
UnmodifiableSortedBidiMap.entrySet( );1;0;4
UnmodifiableSortedBidiMap.put( Object key , Object value );1;0;3
UnmodifiableSortedBidiMap.inverseOrderedBidiMap( );1;0;3
UnmodifiableSortedBidiMap.mapIterator( );1;0;3
UnmodifiableSortedBidiMap.subMap( Object fromKey , Object toKey );1;0;4
UnmodifiableSortedBidiMap.keySet( );1;0;4
UnmodifiableSortedBidiMap.decorate( SortedBidiMap map );2;0;6
UnmodifiableSortedBidiMap.values( );1;0;4
UnmodifiableSortedBidiMap.tailMap( Object fromKey );1;0;4
UnmodifiableSortedBidiMap.removeValue( Object value );1;0;3
UnmodifiableSortedBidiMap.inverseBidiMap( );1;0;3
UnmodifiableSortedBidiMap.putAll( Map mapToCopy );1;0;3
UnmodifiableSortedBidiMap.UnmodifiableSortedBidiMap( SortedBidiMap map );1;0;3
UnmodifiableSortedBidiMap.inverseSortedBidiMap( );2;1;7
UnmodifiableSortedBidiMap.clear( );1;0;3
UnmodifiableSortedBidiMap.orderedMapIterator( );1;0;4
UnmodifiableSortedBidiMap.headMap( Object toKey );1;0;4
UnmodifiableSortedBidiMap.remove( Object key );1;0;3
