Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
PredicatedList.addAll( int index , Collection coll );2;0;6
PredicatedList.lastIndexOf( Object object );1;0;3
PredicatedList.get( int index );1;0;3
PredicatedList.subList( int fromIndex , int toIndex );1;0;4
PredicatedList.listIterator( int i );1;0;3
PredicatedListIterator.set( Object object );1;0;4
PredicatedListIterator.add( Object object );1;0;4
PredicatedList.add( int index , Object object );1;0;4
PredicatedListIterator.PredicatedListIterator( ListIterator iterator );1;0;3
PredicatedList.remove( int index );1;0;3
PredicatedList.PredicatedList( List list , Predicate predicate );1;0;3
PredicatedList.getList( );1;0;3
***not in a method***;0;1;0
PredicatedList.set( int index , Object object );1;0;4
PredicatedList.indexOf( Object object );1;0;3
PredicatedList.decorate( List list , Predicate predicate );1;0;3
PredicatedList.listIterator( );1;0;3
