Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SetListListIterator.next( );1;0;4
SetUniqueList.addAll( Collection coll );1;0;3
SetUniqueList.remove( int index );1;0;5
SetUniqueList.remove( Object object );1;0;5
SetListIterator.remove( );1;0;5
SetUniqueList.set( int index , Object object );3;4;10
SetUniqueList.add( int index , Object object );2;1;6
SetUniqueList.iterator( );1;0;3
SetUniqueList.clear( );1;0;4
SetUniqueList.removeAll( Collection coll );1;0;5
SetListListIterator.set( Object object );1;0;3
SetListListIterator.previous( );1;0;4
SetUniqueList.listIterator( int index );1;0;3
SetListIterator.SetListIterator( Iterator it , Set set );1;0;4
SetUniqueList.contains( Object object );1;0;3
SetUniqueList.addAll( int index , Collection coll );3;3;11
SetListListIterator.add( Object object );2;1;6
SetUniqueList.SetUniqueList( List list , Set set );2;1;7
SetUniqueList.containsAll( Collection coll );1;0;3
SetUniqueList.retainAll( Collection coll );1;0;5
SetUniqueList.decorate( List list );3;1;14
SetListListIterator.SetListListIterator( ListIterator it , Set set );1;0;4
SetUniqueList.listIterator( );1;0;3
SetUniqueList.asSet( );1;0;3
SetListListIterator.remove( );1;0;5
SetUniqueList.subList( int fromIndex , int toIndex );1;0;3
SetListIterator.next( );1;0;4
SetUniqueList.add( Object object );1;1;5
