Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
TransformedSortedMap.comparator( );1;0;3
TransformedSortedMap.headMap( Object toKey );1;0;4
TransformedSortedMap.firstKey( );1;0;3
TransformedSortedMap.TransformedSortedMap( SortedMap map , Transformer keyTransformer , Transformer valueTransformer );1;0;3
TransformedSortedMap.getSortedMap( );1;0;3
TransformedSortedMap.lastKey( );1;0;3
***not in a method***;0;1;0
TransformedSortedMap.subMap( Object fromKey , Object toKey );1;0;4
TransformedSortedMap.decorateTransform( SortedMap map , Transformer keyTransformer , Transformer valueTransformer );2;1;9
TransformedSortedMap.decorate( SortedMap map , Transformer keyTransformer , Transformer valueTransformer );1;0;3
TransformedSortedMap.tailMap( Object fromKey );1;0;4
