Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
UnmodifiableSortedMap.writeObject( ObjectOutputStream out );1;0;4
UnmodifiableSortedMap.headMap( Object toKey );1;0;4
UnmodifiableSortedMap.firstKey( );1;0;3
UnmodifiableSortedMap.tailMap( Object fromKey );1;0;4
UnmodifiableSortedMap.entrySet( );1;0;4
UnmodifiableSortedMap.decorate( SortedMap map );2;0;6
UnmodifiableSortedMap.comparator( );1;0;3
UnmodifiableSortedMap.putAll( Map mapToCopy );1;0;3
UnmodifiableSortedMap.readObject( ObjectInputStream in );1;0;4
UnmodifiableSortedMap.UnmodifiableSortedMap( SortedMap map );1;0;3
UnmodifiableSortedMap.subMap( Object fromKey , Object toKey );1;0;4
UnmodifiableSortedMap.values( );1;0;4
UnmodifiableSortedMap.put( Object key , Object value );1;0;3
UnmodifiableSortedMap.lastKey( );1;0;3
UnmodifiableSortedMap.clear( );1;0;3
UnmodifiableSortedMap.keySet( );1;0;4
UnmodifiableSortedMap.remove( Object key );1;0;3
