Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
DutchStemmer.unDouble( StringBuffer sb );1;0;3
DutchStemmer.step3b( StringBuffer sb );18;36;47
DutchStemmer.getRIndex( StringBuffer sb , int start );5;8;11
DutchStemmer.isVowel( char c );8;0;15
DutchStemmer.setStemDictionary( Map dict );1;0;3
DutchStemmer.step3a( StringBuffer sb );5;8;10
DutchStemmer.step1( StringBuffer sb );10;16;25
DutchStemmer.isValidEnEnding( StringBuffer sb , int index );6;8;10
DutchStemmer.isValidSEnding( StringBuffer sb , int index );3;2;6
DutchStemmer.substitute( StringBuffer buffer );12;2;36
DutchStemmer.step4( StringBuffer sb );8;14;17
DutchStemmer.step2( StringBuffer sb );5;8;14
DutchStemmer.enEnding( StringBuffer sb );5;8;17
DutchStemmer.unDouble( StringBuffer sb , int endIndex );7;6;6
DutchStemmer.isStemmable( String term );3;3;6
DutchStemmer.reStoreYandI( StringBuffer sb );1;0;5
DutchStemmer.storeYandI( StringBuffer sb );11;13;25
DutchStemmer.stem( String term );5;3;24
