Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
TurkishStemmer.r_mark_yUz( );4;3;15
TurkishStemmer.copy_from( TurkishStemmer other );1;0;5
TurkishStemmer.r_mark_ndA( );3;2;11
TurkishStemmer.r_mark_suffix_with_optional_y_consonant( );10;22;60
TurkishStemmer.r_stem_nominal_verb_suffixes( );67;69;284
***not in a method***;0;236;0
TurkishStemmer.r_mark_yDU( );4;3;15
TurkishStemmer.r_is_reserved_word( );13;10;57
TurkishStemmer.r_mark_nUn( );4;3;15
TurkishStemmer.r_postlude( );7;7;34
TurkishStemmer.r_mark_yA( );4;3;15
TurkishStemmer.r_mark_suffix_with_optional_U_vowel( );10;22;60
TurkishStemmer.r_mark_nUz( );3;2;11
TurkishStemmer.r_append_U_to_stems_ending_with_d_or_g( );41;58;210
TurkishStemmer.r_mark_ymUs_( );4;3;15
TurkishStemmer.r_mark_lAr( );3;2;11
TurkishStemmer.r_mark_possessives( );3;2;11
TurkishStemmer.r_mark_DAn( );3;2;11
TurkishStemmer.r_mark_DUr( );3;2;11
TurkishStemmer.r_mark_ncA( );4;3;15
TurkishStemmer.r_mark_suffix_with_optional_n_consonant( );10;22;60
TurkishStemmer.r_mark_ylA( );4;3;15
TurkishStemmer.r_mark_nU( );3;2;11
TurkishStemmer.r_check_vowel_harmony( );53;72;241
TurkishStemmer.r_stem_suffix_chain_before_ki( );40;48;197
TurkishStemmer.r_mark_lArI( );2;1;7
TurkishStemmer.r_mark_yken( );3;2;11
TurkishStemmer.r_mark_sUnUz( );2;1;7
TurkishStemmer.r_more_than_one_syllable_word( );8;5;39
TurkishStemmer.r_mark_cAsInA( );2;1;7
TurkishStemmer.r_mark_yU( );4;3;15
TurkishStemmer.r_stem_noun_suffixes( );107;127;522
TurkishStemmer.r_mark_ki( );2;1;7
TurkishStemmer.stem( );8;9;35
TurkishStemmer.r_post_process_last_consonants( );7;1;27
TurkishStemmer.r_mark_ndAn( );3;2;11
TurkishStemmer.r_mark_yUm( );4;3;15
TurkishStemmer.r_mark_DA( );3;2;11
TurkishStemmer.r_mark_suffix_with_optional_s_consonant( );10;22;60
TurkishStemmer.r_mark_nA( );3;2;11
TurkishStemmer.r_mark_ysA( );3;2;11
TurkishStemmer.r_mark_sUn( );3;2;11
TurkishStemmer.r_mark_sU( );4;3;15
