Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ConstantScorer.score( );1;0;3
ConstantWeight.normalize( float norm );1;1;4
ConstantScorer.next( );1;0;3
ConstantScoreQuery.extractTerms( Set terms );1;0;2
ConstantScorer.explain( int doc );1;0;3
ConstantWeight.getQuery( );1;0;3
***not in a method***;0;1;0
ConstantScoreQuery.hashCode( );1;1;3
ConstantWeight.scorer( IndexReader reader );1;0;3
ConstantWeight.ConstantWeight( Searcher searcher );1;0;3
ConstantScoreQuery.ConstantScoreQuery( Filter filter );1;0;3
ConstantWeight.sumOfSquaredWeights( );1;1;4
ConstantScoreQuery.getFilter( );1;0;3
ConstantWeight.explain( IndexReader reader , int doc );3;2;19
ConstantScorer.ConstantScorer( Similarity similarity , IndexReader reader , Weight w );1;0;5
ConstantScoreQuery.rewrite( IndexReader reader );1;0;3
ConstantScoreQuery.createWeight( Searcher searcher );1;0;3
ConstantWeight.getValue( );1;0;3
ConstantScorer.skipTo( int target );1;0;3
ConstantScorer.doc( );1;0;3
ConstantScoreQuery.toString( String field );2;1;4
ConstantScoreQuery.equals( Object o );4;4;6
