Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ConnectionImpl.setTransactionIsolation( int level );1;0;4
ConnectionImpl.getAutoCommit( );1;0;4
ConnectionImpl.prepareStatement( String sql , int autoGeneratedKeys );1;0;4
ConnectionImpl.nativeSQL( String sql );1;0;4
ConnectionImpl.getMetaData( );1;0;4
ConnectionImpl.isReadOnly( );1;0;4
ConnectionImpl.finalize( );2;1;7
ConnectionImpl.setTypeMap( Map map );1;0;4
ConnectionImpl.ConnectionImpl( PooledConnectionImpl pooledConnection , Connection connection );1;0;5
ConnectionImpl.isClosed( );1;0;3
ConnectionImpl.getTransactionIsolation( );1;0;4
ConnectionImpl.close( );2;1;6
ConnectionImpl.setAutoCommit( boolean b );1;0;4
ConnectionImpl.setSavepoint( );1;0;4
ConnectionImpl.getWarnings( );1;0;4
ConnectionImpl.createStatement( int resultSetType , int resultSetConcurrency );1;0;5
ConnectionImpl.clearWarnings( );1;0;4
ConnectionImpl.createStatement( );1;0;4
ConnectionImpl.assertOpen( );2;0;5
ConnectionImpl.prepareCall( String sql , int resultSetType , int resultSetConcurrency );1;0;4
ConnectionImpl.setSavepoint( String name );1;0;4
ConnectionImpl.prepareStatement( String sql , int columnIndexes [ ] );1;0;4
ConnectionImpl.prepareStatement( String sql , int resultSetType , int resultSetConcurrency );1;0;5
ConnectionImpl.getHoldability( );1;0;4
ConnectionImpl.prepareCall( String sql );1;0;4
ConnectionImpl.rollback( );1;0;4
ConnectionImpl.prepareStatement( String sql );1;0;4
ConnectionImpl.rollback( java . sql . Savepoint savepoint );1;0;4
ConnectionImpl.setCatalog( String catalog );1;0;4
ConnectionImpl.prepareCall( String sql , int resultSetType , int resultSetConcurrency , int resultSetHoldability );1;0;6
ConnectionImpl.prepareStatement( String sql , int resultSetType , int resultSetConcurrency , int resultSetHoldability );1;0;6
ConnectionImpl.createStatement( int resultSetType , int resultSetConcurrency , int resultSetHoldability );1;0;5
ConnectionImpl.setHoldability( int holdability );1;0;4
ConnectionImpl.prepareStatement( String sql , String columnNames [ ] );1;0;4
ConnectionImpl.commit( );1;0;4
ConnectionImpl.getCatalog( );1;0;4
ConnectionImpl.releaseSavepoint( java . sql . Savepoint savepoint );1;0;4
ConnectionImpl.getTypeMap( );1;0;4
ConnectionImpl.setReadOnly( boolean readOnly );1;0;4
