Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
BLOBInTempFile.equals( Object obj );6;7;10
BLOBInTempFile.getLength( );1;0;3
BLOBInTempFile.getInstance( InputStream in , boolean temp );1;0;3
BLOBInTempFile.BLOBInTempFile( InputStream in , boolean temp );4;1;21
BLOBInTempFile.isSmall( );1;0;3
BLOBInTempFile.getInstance( File file , boolean temp );1;0;3
BLOBInTempFile.isImmutable( );1;0;3
BLOBInTempFile.delete( boolean pruneEmptyParentDirs );1;1;5
BLOBInTempFile.discard( );2;0;5
BLOBInTempFile.getStream( );2;0;7
BLOBInTempFile.BLOBInTempFile( File file , boolean temp );1;0;5
BLOBInTempFile.toString( );1;1;3
BLOBInTempFile.hashCode( );1;0;3
