Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ClientAdapterFactory.getItemDef( RemoteItemDefinition remote );1;0;3
ClientAdapterFactory.getRow( RemoteRow remote );1;0;3
ClientAdapterFactory.getNodeType( RemoteNodeType remote );1;0;3
ClientAdapterFactory.getNodeTypeManager( RemoteNodeTypeManager remote );1;0;3
ClientAdapterFactory.getNode( Session session , RemoteNode remote );1;0;3
ClientAdapterFactory.getNamespaceRegistry( RemoteNamespaceRegistry remote );1;0;3
ClientAdapterFactory.getRepository( RemoteRepository remote );1;0;3
ClientAdapterFactory.getVersionIterator( Session session , RemoteIterator remote );1;0;3
ClientAdapterFactory.getVersionHistory( Session session , RemoteVersionHistory remote );1;0;3
ClientAdapterFactory.getSession( Repository repository , RemoteSession remote );2;0;8
ClientAdapterFactory.getQueryResult( Session session , RemoteQueryResult remote );1;0;3
ClientAdapterFactory.getRowIterator( RemoteIterator remote );1;0;3
ClientAdapterFactory.getLock( Node node , RemoteLock remote );1;0;3
ClientAdapterFactory.getNodeDef( RemoteNodeDefinition remote );1;0;3
ClientAdapterFactory.getNodeTypeIterator( RemoteIterator remote );1;0;3
ClientAdapterFactory.getPropertyIterator( Session session , RemoteIterator remote );1;0;3
ClientAdapterFactory.getItem( Session session , RemoteItem remote );1;0;3
ClientAdapterFactory.getObservationManager( Workspace workspace , RemoteObservationManager remote );1;0;3
ClientAdapterFactory.getQueryManager( Session session , RemoteQueryManager remote );1;0;3
ClientAdapterFactory.getQuery( Session session , RemoteQuery remote );1;0;3
ClientAdapterFactory.getPropertyDef( RemotePropertyDefinition remote );1;0;3
ClientAdapterFactory.getXAResource( RemoteXAResource remote );1;0;3
ClientAdapterFactory.getVersion( Session session , RemoteVersion remote );1;0;3
ClientAdapterFactory.getProperty( Session session , RemoteProperty remote );1;0;3
ClientAdapterFactory.getWorkspace( Session session , RemoteWorkspace remote );1;0;3
ClientAdapterFactory.getNodeIterator( Session session , RemoteIterator remote );1;0;3
